"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U6","TSOP65P640X120-28N","98.933mm","26.7462mm","98.933mm","26.7462mm","95.983mm","30.9712mm","T","0.00","Multiplexer ADG1606"
"U7","TSOP65P640X120-28N","130.9116mm","25.6032mm","130.9116mm","25.6032mm","127.9616mm","29.8282mm","T","0.00","Multiplexer ADG1606"
"U1","PCBComponent_1","103.325mm","36.482mm","103.325mm","34.45mm","103.325mm","34.45mm","T","90.00","mosfet N"
"J7","RAPC722X_connecteur_alimentation","42.9384mm","10.8944mm","40.5384mm","0.2794mm","40.5384mm","14.0194mm","T","0.00","conecteur alimentation"
"U2","SOT230P710X180-4N","17.9578mm","11.6332mm","17.9578mm","11.6332mm","20.2578mm","14.6082mm","T","270.00","regulateur tension"
"U9","SOT65P210X110-5N","113.075mm","30.775mm","113.075mm","30.775mm","112mm","31.425mm","T","0.00","Porte NOT"
"U8","SOT65P210X110-5N","38.7mm","40.35mm","38.7mm","40.35mm","39.35mm","41.425mm","T","270.00","Porte NOT"
"U10","ABT-410-RC","75.725mm","44.8mm","75.725mm","44.8mm","75.725mm","48.05mm","T","0.00","Buzzer"
"U5","TSOP65P640X120-28N","18.2626mm","30.48mm","18.2626mm","30.48mm","15.3126mm","34.705mm","T","0.00","Multiplexer ADG1606"
"U4","TSOP65P640X120-28N","36.1696mm","30.988mm","36.1696mm","30.988mm","33.2196mm","35.213mm","T","0.00","Multiplexer ADG1606"
"U3","SOIC127P1030X265-28N","58.293mm","62.8396mm","58.293mm","62.8396mm","53.543mm","71.0946mm","T","0.00","PIC32MX170F256B-I/SO"
"R3","CAPC1608X09N","50.038mm","74.041mm","50.038mm","74.041mm","50.713mm","74.041mm","T","180.00","10k"
"J3","uart","87.3252mm","94.742mm","89.8652mm","94.742mm","89.8652mm","94.742mm","T","180.00","connecteur uart"
"R2","CAPC1608X09N","29.4894mm","92.6338mm","29.4894mm","92.6338mm","28.8144mm","92.6338mm","T","0.00","200r"
"C1","CAPC1608X09N","69.2658mm","70.4088mm","69.2658mm","70.4088mm","69.2658mm","69.7338mm","T","90.00","0.1uf"
"C2","CAPC1608X09N","51.181mm","77.2414mm","51.181mm","77.2414mm","51.181mm","77.9164mm","T","270.00","0.1uf"
"C3","CAPC1608X09N","69.5198mm","60.198mm","69.5198mm","60.198mm","69.5198mm","60.873mm","T","270.00","10uf"
"C4","CAPC1608X09N","58.5216mm","52.2478mm","58.5216mm","52.2478mm","59.1966mm","52.2478mm","T","180.00","0.1uF"
"J1","DEBUG","66.9558mm","94.742mm","60.6298mm","94.742mm","60.6058mm","94.742mm","T","360.00","Program/Debug"
"R1","CAPC1608X09N","53.6448mm","77.2668mm","53.6448mm","77.2668mm","53.6448mm","76.5918mm","T","90.00","1K"
"J2","PCBComponent_1","41.8606mm","94.742mm","31.4706mm","94.742mm","32.9706mm","94.742mm","T","360.00","Conecteur psx"
"C9","CAPC1608X09N","13.4mm","17.75mm","13.4mm","17.75mm","12.725mm","17.75mm","T","360.00","10uF"
"C11","CAPC1608X09N","24.4mm","11.75mm","24.4mm","11.75mm","23.725mm","11.75mm","T","0.00","47uF"
"J8","uart","53.6mm","43.06mm","53.6mm","45.6mm","53.6mm","45.6mm","T","270.00","connecteur uart2"
"J4","HTSS-117-01-T-DV-P-TR_Connecteur_34_pins","115.389mm","63.282mm","115.325mm","83.475mm","114.119mm","83.602mm","T","90.00","conecteur limande 34 fils"
"J5","M80-8541642_connecteur_16_pins","28.8mm","51.715mm","28.8mm","42.825mm","27.53mm","60.605mm","T","90.00","conecteur limande 16 fils"
"J6","M80-8541642_connecteur_16_pins","22.825mm","79.265mm","22.825mm","70.375mm","21.555mm","88.155mm","T","90.00","conecteur limande 16 fils"

